date,time,open,high,low,close,Volume
09-06-2021,11:35:00,15783.5,15785.65,15781.2,15782.2,0
09-06-2021,11:40:00,15782.35,15786,15781.35,15784.65,0
09-06-2021,11:45:00,15784.75,15787.25,15781.7,15782.9,0
09-06-2021,11:50:00,15782.8,15785.9,15779.45,15784.65,0
09-06-2021,11:55:00,15784.85,15791.35,15784.8,15787.35,0
09-06-2021,12:00:00,15788.5,15789.05,15785.8,15787.6,0
09-06-2021,12:05:00,15787.75,15788.85,15784.15,15787.45,0
09-06-2021,12:10:00,15787.75,15794.3,15786.55,15789.75,0
09-06-2021,12:15:00,15789.5,15800.45,15788.2,15796.3,0
09-06-2021,12:20:00,15796.6,15798.7,15792.05,15792.95,0
09-06-2021,12:25:00,15792.65,15794,15788.7,15789.5,0
09-06-2021,12:30:00,15789.4,15794.4,15783.35,15783.35,0
09-06-2021,12:35:00,15783.05,15784.9,15780.7,15784.2,0
09-06-2021,12:40:00,15783.85,15790,15781.75,15781.75,0
09-06-2021,12:45:00,15782,15785.55,15781.35,15784.25,0
09-06-2021,12:50:00,15783.5,15784.3,15774.1,15775.5,0
09-06-2021,12:55:00,15775.3,15781.5,15773.45,15777.45,0
09-06-2021,13:00:00,15777.25,15778.75,15770.95,15771.9,0
09-06-2021,13:05:00,15772.85,15774,15736.45,15741.2,0
09-06-2021,13:10:00,15738.25,15739.9,15659.65,15659.65,0
09-06-2021,13:15:00,15660.35,15678.25,15608.95,15663.85,0
09-06-2021,13:20:00,15663.5,15678.7,15640.4,15667.2,0
09-06-2021,13:25:00,15667.25,15675.45,15664.4,15674.1,0
09-06-2021,13:30:00,15672.35,15673.35,15649.75,15660.75,0
09-06-2021,13:35:00,15660.9,15693.35,15657.5,15687.7,0
09-06-2021,13:40:00,15687.4,15699.05,15675.75,15694.75,0
09-06-2021,13:45:00,15694.2,15696,15681.8,15686.15,0
09-06-2021,13:50:00,15686.4,15692.8,15669.4,15672.2,0
09-06-2021,13:55:00,15671.75,15681.05,15660.85,15680.4,0
09-06-2021,14:00:00,15680.35,15682.35,15671.8,15676.3,0
09-06-2021,14:05:00,15675.7,15694.45,15673.65,15692.3,0
09-06-2021,14:10:00,15690.75,15690.75,15680.65,15680.65,0
09-06-2021,14:15:00,15679.95,15697.8,15679.95,15692.6,0
09-06-2021,14:20:00,15692.65,15692.7,15657.75,15659.25,0
09-06-2021,14:25:00,15658.7,15665.25,15637.9,15641.95,0
09-06-2021,14:30:00,15642.7,15648.15,15607.6,15607.6,0
09-06-2021,14:35:00,15607.55,15631.85,15606.4,15620.7,0
09-06-2021,14:40:00,15620.65,15629.2,15579.2,15579.55,0
09-06-2021,14:45:00,15578.85,15603.75,15567.7,15601.65,0
09-06-2021,14:50:00,15601.95,15617.85,15600.9,15616.5,0
09-06-2021,14:55:00,15615.75,15616.45,15605.35,15608.9,0
09-06-2021,15:00:00,15608,15626.75,15608,15623.45,0
09-06-2021,15:05:00,15624.45,15631.2,15616.05,15627.25,0
09-06-2021,15:10:00,15627.7,15646.45,15627.7,15639.4,0
09-06-2021,15:15:00,15638.9,15654.6,15638.9,15645.5,0
09-06-2021,15:20:00,15644.95,15649.6,15632.05,15637.05,0
09-06-2021,15:25:00,15636.95,15644,15636.85,15640.25,0
10-06-2021,09:15:00,15680.7,15694.85,15663.6,15688.3,0
10-06-2021,09:20:00,15688.4,15688.4,15672.35,15684.25,0
10-06-2021,09:25:00,15686.2,15688.5,15649.85,15678.55,0
10-06-2021,09:30:00,15676.95,15701.75,15676.95,15697.7,0
10-06-2021,09:35:00,15698.15,15708.35,15690.1,15706.65,0
10-06-2021,09:40:00,15706.3,15706.5,15695.4,15699.9,0
10-06-2021,09:45:00,15700.05,15707.05,15694.7,15697.6,0
10-06-2021,09:50:00,15697.7,15701.95,15685.15,15693.85,0
10-06-2021,09:55:00,15694.05,15700.8,15692.45,15700.8,0
10-06-2021,10:00:00,15700.6,15705.15,15686.1,15690.45,0
10-06-2021,10:05:00,15689.75,15697.25,15685.35,15689.95,0
10-06-2021,10:10:00,15690,15696.75,15686.55,15693.25,0
10-06-2021,10:15:00,15693.6,15699.55,15692.9,15694.75,0
10-06-2021,10:20:00,15694.3,15708.2,15691.05,15708.2,0
10-06-2021,10:25:00,15708,15713.5,15705.9,15710.5,0
10-06-2021,10:30:00,15710.5,15713.45,15707.7,15711.65,0
10-06-2021,10:35:00,15711.05,15711.05,15704.85,15710.2,0
10-06-2021,10:40:00,15709.7,15718.6,15705.5,15715.7,0
10-06-2021,10:45:00,15715.6,15717.6,15710.85,15714.45,0
10-06-2021,10:50:00,15714.65,15717.15,15709.2,15715.85,0
10-06-2021,10:55:00,15715.55,15716.75,15710.95,15715.55,0
10-06-2021,11:00:00,15715.15,15720.95,15704.5,15704.95,0
10-06-2021,11:05:00,15705.25,15705.8,15692.75,15695.5,0
10-06-2021,11:10:00,15694.95,15697.1,15689.65,15692.95,0
10-06-2021,11:15:00,15693.05,15700.15,15691.9,15699.2,0
10-06-2021,11:20:00,15699.7,15704.85,15698.65,15703.3,0
10-06-2021,11:25:00,15703.75,15704.8,15701.25,15701.7,0
10-06-2021,11:30:00,15701.75,15707.35,15701.55,15704.9,0
10-06-2021,11:35:00,15705.05,15711.5,15705.05,15707.25,0
10-06-2021,11:40:00,15706.8,15710.65,15697.2,15709.7,0
10-06-2021,11:45:00,15708.25,15711.25,15701.15,15704.45,0
10-06-2021,11:50:00,15704.75,15719.95,15703.55,15717.45,0
10-06-2021,11:55:00,15717.05,15722.8,15712.2,15722.5,0
10-06-2021,12:00:00,15722,15739.9,15720.4,15727.6,0
10-06-2021,12:05:00,15727.4,15739.25,15725.25,15735.7,0
10-06-2021,12:10:00,15735.75,15738.05,15722.6,15724.1,0
10-06-2021,12:15:00,15724.75,15728.9,15722.35,15728,0
10-06-2021,12:20:00,15728.3,15729.7,15720.05,15724.6,0
10-06-2021,12:25:00,15724.55,15726.65,15710.15,15712.15,0
